Kereskedő,Scooter vagy ATW,Kategória,Márka,Modell,Motor méret (cm3),ár/nap (EUR),váltó típusa,elérhetőség,leírás,kép URL,város,ajánlatkérő link
Moto Zagos,Scooter,,SYM Symphony S 50,,50 cc,,Automatic,,,https://www.motozagos.gr/menu/61/61.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,SYM JET 4,,50 cc,,Automatic,,,https://www.motozagos.gr/menu/18/18.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,KYMCO SUPER 8,,50 cc,,Automatic,,,https://www.motozagos.gr/menu/19/19.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,KYMCO Agility 16+ 50,,50 cc,,Automatic,,,https://www.motozagos.gr/menu/24/24.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Piaggio Typhoon,,80 cc,,Automatic,,,https://www.motozagos.gr/menu/75/75.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,KYMCO PEOPLE S Series,,80 cc,,Automatic,,,https://www.motozagos.gr/menu/20/20.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Honda Vario 125 CBS,,125 cc,,Automatic,,,https://www.motozagos.gr/menu/64/64.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Piaggio Liberty 125 ABS,,125 cc,,Automatic,,,https://www.motozagos.gr/menu/69/69.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,SYM Symphony SR 125 ABS,,125 cc,,Automatic,,,https://www.motozagos.gr/menu/77/77.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Kymco Agility 16+ 125 CBS,,125 cc,,Automatic,,,https://www.motozagos.gr/menu/76/76.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,SYM JET 14 A/C 125 CBS,,125 cc,,Automatic,,,https://www.motozagos.gr/menu/63/63.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,SYM JET X 125 ABS TCS,,125 cc,,Automatic,,,https://www.motozagos.gr/menu/96/96.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Piaggio Medley S 125,,125 cc,,Automatic,,,https://www.motozagos.gr/menu/100/100.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,HONDA PCX 125,,125 cc,,Automatic,,,https://www.motozagos.gr/menu/101/101.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Kymco DINK 125,,125 cc,,Automatic,,,https://www.motozagos.gr/menu/88/88.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Kymco SKYTOWN 125 i,,125 cc,,Automatic,,,https://www.motozagos.gr/menu/97/97.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,SYM Symphony 200,,200 cc,,Automatic,,,https://www.motozagos.gr/menu/99/99.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Kymco People S 200i ABS,,200 cc,,Automatic,,,https://www.motozagos.gr/menu/83/83.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Aprilia SR GT 125,,125 cc,,Automatic,,,https://www.motozagos.gr/menu/98/98.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Aprilia SR GT 200,,200 cc,,Automatic,,,https://www.motozagos.gr/menu/86/86.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Daytona Virtus 300,,300 cc,,Automatic,,,https://www.motozagos.gr/menu/90/90.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,HONDA ADV 350,,350 cc,,Automatic,,,https://www.motozagos.gr/menu/102/102.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,SYM Joyride 200i ABS,,200 cc,,Automatic,,,https://www.motozagos.gr/menu/71/71.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Piaggio Beverly S 300 HPE,,300 cc,,Automatic,,,https://www.motozagos.gr/menu/79/79.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Kymco X-TOWN 300i ABS,,300 cc,,Automatic,,,https://www.motozagos.gr/menu/67/67.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,Yamaha XMAX 300 ABS,,300 cc,,Automatic,,,https://www.motozagos.gr/menu/66/66.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,Scooter,,kymco Xciting S400I,,400 cc,,Automatic,,,https://www.motozagos.gr/menu/91/91.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,ATV,,VOGE LONCIN X-WOLF 300,,300 cc,,Automatic,,,https://www.motozagos.gr/menu/104/104.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,ATV,,KYMCO MXU 450,,450 cc,,Automatic,,,https://www.motozagos.gr/menu/57/57.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,ATV,,CF MOTO 450L,,450 cc,,Automatic,,,https://www.motozagos.gr/menu/82/82.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,ATV,,Daytona Akita 500,,500 cc,,Automatic,,,https://www.motozagos.gr/menu/59/59.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,ATV,,TGB Blade 600,,600 cc,,Automatic,,,https://www.motozagos.gr/menu/93/93.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Moto Zagos,ATV,,CForce 625 Touring,,625 cc,,Automatic,,,https://www.motozagos.gr/menu/92/92.jpg,Limenaria,https://www.motozagos.gr/en/thassos-island-reservation/
Mike's Rental,Scooter,,Peugeot Tweet 50,,50 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2025/05/peugeot-tweet-50.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,Scooter,,Keeway Agora,,50 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2020/03/keeway-agora.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
Mike's Rental,Scooter,,Gilera Runner SP,,50 cc,,Automatic,,,https://www.rentalthasos.gr/wp-content/uploads/2020/03/gilera-runner-50cc.jpg,"Limenas, Prinos, Limenaria",https://www.rentalthasos.gr/scooters/
